stp,cholesterol,population,value,date
,113.0,6717,0.016822986452285246,2020-01-01
E54000005,56574.0,1822732,0.031038024240535634,2020-01-01
E54000006,25889.0,852911,0.030353694582435916,2020-01-01
E54000007,6664.0,175567,0.037957019257605355,2020-01-01
E54000008,4070.0,129960,0.03131732840874115,2020-01-01
E54000009,27693.0,867416,0.031925857950510485,2020-01-01
E54000010,1996.0,59919,0.03331163737712579,2020-01-01
E54000012,23692.0,708485,0.033440369238586565,2020-01-01
E54000013,20501.0,546349,0.03752363416058234,2020-01-01
E54000014,23859.0,746554,0.0319588402178543,2020-01-01
E54000015,24979.0,833820,0.029957304933918592,2020-01-01
E54000016,9532.0,273719,0.03482403486787545,2020-01-01
E54000017,14842.0,422240,0.035150625236832135,2020-01-01
E54000020,16394.0,489525,0.03348960727235586,2020-01-01
E54000021,20013.0,701922,0.028511714976877774,2020-01-01
E54000022,24726.0,721558,0.03426751557047389,2020-01-01
E54000023,19930.0,612457,0.03254106002543852,2020-01-01
E54000024,23544.0,787069,0.029913514571149415,2020-01-01
E54000025,19316.0,646165,0.029893293508623957,2020-01-01
E54000026,31345.0,953896,0.03285997634962302,2020-01-01
E54000027,35935.0,1299022,0.027663118869426385,2020-01-01
E54000029,2147.0,80417,0.026698334929181642,2020-01-01
E54000033,20315.0,716532,0.028351839136284213,2020-01-01
E54000035,1272.0,35419,0.03591292808944352,2020-01-01
E54000036,7521.0,209099,0.03596860817124903,2020-01-01
E54000037,19925.0,647349,0.030779378665912824,2020-01-01
E54000040,21299.0,733360,0.02904303479873459,2020-01-01
E54000041,19891.0,658475,0.03020767682903679,2020-01-01
E54000042,12278.0,499323,0.024589293903945944,2020-01-01
E54000043,11656.0,410975,0.028361822495285603,2020-01-01
E54000044,581.0,21480,0.027048417132216014,2020-01-01
E54000049,52045.0,1344585,0.03870711037234537,2020-01-01
,114.0,6717,0.016971862438588656,2020-02-01
E54000005,49299.0,1822732,0.027046762771488073,2020-02-01
E54000006,23479.0,852911,0.027528077372668425,2020-02-01
E54000007,5860.0,175567,0.033377570955817434,2020-02-01
E54000008,3432.0,129960,0.026408125577100646,2020-02-01
E54000009,25686.0,867416,0.029612089239765004,2020-02-01
E54000010,1833.0,59919,0.030591298252641064,2020-02-01
E54000012,21592.0,708485,0.030476298016189476,2020-02-01
E54000013,17340.0,546349,0.03173795504338802,2020-02-01
E54000014,22097.0,746554,0.0295986626553471,2020-02-01
E54000015,22653.0,833820,0.0271677340433187,2020-02-01
E54000016,8804.0,273719,0.03216437295182285,2020-02-01
E54000017,13089.0,422240,0.03099895793861311,2020-02-01
E54000020,14727.0,489525,0.03008426535927685,2020-02-01
E54000021,18041.0,701922,0.025702286008986754,2020-02-01
E54000022,22328.0,721558,0.030944151405708203,2020-02-01
E54000023,16805.0,612457,0.027438660999874277,2020-02-01
E54000024,20865.0,787069,0.026509746921807364,2020-02-01
E54000025,17843.0,646165,0.027613690001779732,2020-02-01
E54000026,29574.0,953896,0.031003379823376972,2020-02-01
E54000027,33470.0,1299022,0.025765537458180075,2020-02-01
E54000029,1917.0,80417,0.023838243157541315,2020-02-01
E54000033,18426.0,716532,0.02571552980187905,2020-02-01
E54000035,1116.0,35419,0.03150851238036082,2020-02-01
E54000036,6074.0,209099,0.029048441169015633,2020-02-01
E54000037,17270.0,647349,0.026678036113441127,2020-02-01
E54000040,19403.0,733360,0.026457674266390313,2020-02-01
E54000041,18237.0,658475,0.02769581229355708,2020-02-01
E54000042,11307.0,499323,0.022644660870819087,2020-02-01
E54000043,10802.0,410975,0.026283837216375693,2020-02-01
E54000044,568.0,21480,0.02644320297951583,2020-02-01
E54000049,45388.0,1344585,0.03375614037044888,2020-02-01
,81.0,6717,0.01205895489057615,2020-03-01
E54000005,30553.0,1822732,0.016762200915987648,2020-03-01
E54000006,14742.0,852911,0.017284335645805952,2020-03-01
E54000007,3456.0,175567,0.019684792700222706,2020-03-01
E54000008,2176.0,129960,0.016743613419513696,2020-03-01
E54000009,16403.0,867416,0.01891018842170308,2020-03-01
E54000010,1159.0,59919,0.01934277941888216,2020-03-01
E54000012,12909.0,708485,0.01822056924282095,2020-03-01
E54000013,11752.0,546349,0.021510060419255822,2020-03-01
E54000014,13077.0,746554,0.01751648239779038,2020-03-01
E54000015,15554.0,833820,0.018653906118826606,2020-03-01
E54000016,5461.0,273719,0.019951117752147276,2020-03-01
E54000017,8091.0,422240,0.019162087912087913,2020-03-01
E54000020,9422.0,489525,0.019247229457126806,2020-03-01
E54000021,11361.0,701922,0.01618555907921393,2020-03-01
E54000022,15017.0,721558,0.020811909784106058,2020-03-01
E54000023,11156.0,612457,0.018215156329342303,2020-03-01
E54000024,13407.0,787069,0.017034084686348972,2020-03-01
E54000025,11346.0,646165,0.017558982612800138,2020-03-01
E54000026,19879.0,953896,0.020839798049263232,2020-03-01
E54000027,20236.0,1299022,0.015577873199991994,2020-03-01
E54000029,1140.0,80417,0.014176107042043348,2020-03-01
E54000033,11537.0,716532,0.01610116505613148,2020-03-01
E54000035,803.0,35419,0.02267144752816285,2020-03-01
E54000036,4192.0,209099,0.020047919884839237,2020-03-01
E54000037,11065.0,647349,0.01709278920644042,2020-03-01
E54000040,12918.0,733360,0.01761481400676339,2020-03-01
E54000041,12398.0,658475,0.018828353392307984,2020-03-01
E54000042,7035.0,499323,0.014089076609729573,2020-03-01
E54000043,6496.0,410975,0.01580631425269177,2020-03-01
E54000044,346.0,21480,0.016108007448789572,2020-03-01
E54000049,28786.0,1344585,0.02140883618365518,2020-03-01
,13.0,6717,0.0019353878219443203,2020-04-01
E54000005,4947.0,1822732,0.002714057798952342,2020-04-01
E54000006,2128.0,852911,0.002494984822566481,2020-04-01
E54000007,417.0,175567,0.0023751616192108993,2020-04-01
E54000008,297.0,129960,0.002285318559556787,2020-04-01
E54000009,3244.0,867416,0.0037398433969398764,2020-04-01
E54000010,203.0,59919,0.003387907007793855,2020-04-01
E54000012,2378.0,708485,0.003356457793742987,2020-04-01
E54000013,2380.0,546349,0.004356189907916003,2020-04-01
E54000014,2288.0,746554,0.0030647481628924365,2020-04-01
E54000015,3165.0,833820,0.0037957832625746565,2020-04-01
E54000016,1058.0,273719,0.0038652778944830283,2020-04-01
E54000017,1084.0,422240,0.0025672603258810153,2020-04-01
E54000020,1824.0,489525,0.0037260609774781676,2020-04-01
E54000021,1993.0,701922,0.0028393468220115625,2020-04-01
E54000022,2636.0,721558,0.0036532059792837167,2020-04-01
E54000023,2280.0,612457,0.0037227103290516724,2020-04-01
E54000024,2108.0,787069,0.0026782912298667586,2020-04-01
E54000025,1282.0,646165,0.001984013371197759,2020-04-01
E54000026,2673.0,953896,0.0028021922725328546,2020-04-01
E54000027,3280.0,1299022,0.002524976482307459,2020-04-01
E54000029,176.0,80417,0.0021885919643856396,2020-04-01
E54000033,1964.0,716532,0.0027409801655752988,2020-04-01
E54000035,223.0,35419,0.0062960557892656486,2020-04-01
E54000036,960.0,209099,0.0045911266911845584,2020-04-01
E54000037,2070.0,647349,0.0031976569053169157,2020-04-01
E54000040,2631.0,733360,0.0035875968146612852,2020-04-01
E54000041,2274.0,658475,0.0034534340711492462,2020-04-01
E54000042,1173.0,499323,0.002349180790790731,2020-04-01
E54000043,1065.0,410975,0.0025913985035586106,2020-04-01
E54000044,34.0,21480,0.0015828677839851025,2020-04-01
E54000049,3977.0,1344585,0.00295778995005894,2020-04-01
,35.0,6717,0.005210659520619324,2020-05-01
E54000005,11403.0,1822732,0.006255993750041147,2020-05-01
E54000006,5101.0,852911,0.005980694351462227,2020-05-01
E54000007,911.0,175567,0.005188902242448752,2020-05-01
E54000008,681.0,129960,0.005240073868882733,2020-05-01
E54000009,7079.0,867416,0.00816102077895727,2020-05-01
E54000010,334.0,59919,0.005574191825631269,2020-05-01
E54000012,5353.0,708485,0.00755555869213886,2020-05-01
E54000013,4929.0,546349,0.009021705905931923,2020-05-01
E54000014,5307.0,746554,0.007108661932023671,2020-05-01
E54000015,6318.0,833820,0.007577174929840973,2020-05-01
E54000016,2579.0,273719,0.009422071540521484,2020-05-01
E54000017,2698.0,422240,0.006389730958696476,2020-05-01
E54000020,3652.0,489525,0.0074602931413104544,2020-05-01
E54000021,4160.0,701922,0.005926584435307627,2020-05-01
E54000022,5585.0,721558,0.007740195521357951,2020-05-01
E54000023,4529.0,612457,0.007394804859769747,2020-05-01
E54000024,5025.0,787069,0.006384446598709897,2020-05-01
E54000025,3294.0,646165,0.0050977691456516525,2020-05-01
E54000026,5415.0,953896,0.005676719474659711,2020-05-01
E54000027,8633.0,1299022,0.0066457688938293576,2020-05-01
E54000029,377.0,80417,0.0046880634691669676,2020-05-01
E54000033,4391.0,716532,0.006128128262240904,2020-05-01
E54000035,494.0,35419,0.013947316412095203,2020-05-01
E54000036,2289.0,209099,0.010946967704293181,2020-05-01
E54000037,4626.0,647349,0.007146068040577803,2020-05-01
E54000040,5697.0,733360,0.0077683538780407985,2020-05-01
E54000041,4709.0,658475,0.0071513724894642925,2020-05-01
E54000042,3013.0,499323,0.006034170266540896,2020-05-01
E54000043,2541.0,410975,0.006182857838068009,2020-05-01
E54000044,130.0,21480,0.006052141527001862,2020-05-01
E54000049,10076.0,1344585,0.007493762015789258,2020-05-01
,37.0,6717,0.005508411493226143,2020-06-01
E54000005,26090.0,1822732,0.014313678587965757,2020-06-01
E54000006,10082.0,852911,0.011820694070072963,2020-06-01
E54000007,2665.0,175567,0.015179390204309466,2020-06-01
E54000008,1776.0,129960,0.013665743305632503,2020-06-01
E54000009,15269.0,867416,0.01760285722190967,2020-06-01
E54000010,774.0,59919,0.012917438542031742,2020-06-01
E54000012,11342.0,708485,0.01600880752591798,2020-06-01
E54000013,10087.0,546349,0.018462557815608703,2020-06-01
E54000014,12781.0,746554,0.017119993999094505,2020-06-01
E54000015,13442.0,833820,0.016120985344558778,2020-06-01
E54000016,5346.0,273719,0.019530978850573033,2020-06-01
E54000017,6350.0,422240,0.015038840469874953,2020-06-01
E54000020,7464.0,489525,0.01524743373678566,2020-06-01
E54000021,9691.0,701922,0.013806377346770723,2020-06-01
E54000022,11378.0,721558,0.015768656157924936,2020-06-01
E54000023,9365.0,612457,0.015290869399810926,2020-06-01
E54000024,11608.0,787069,0.014748389277179003,2020-06-01
E54000025,8625.0,646165,0.013347983874087888,2020-06-01
E54000026,11752.0,953896,0.012320001341865361,2020-06-01
E54000027,20969.0,1299022,0.01614214385899546,2020-06-01
E54000029,784.0,80417,0.009749182386808759,2020-06-01
E54000033,9040.0,716532,0.012616324183707077,2020-06-01
E54000035,833.0,35419,0.023518450549140292,2020-06-01
E54000036,4250.0,209099,0.020325300455764972,2020-06-01
E54000037,9604.0,647349,0.014835892231238481,2020-06-01
E54000040,11514.0,733360,0.015700338169521107,2020-06-01
E54000041,9387.0,658475,0.014255666502145109,2020-06-01
E54000042,6322.0,499323,0.012661143187876384,2020-06-01
E54000043,5822.0,410975,0.014166311819453738,2020-06-01
E54000044,222.0,21480,0.010335195530726256,2020-06-01
E54000049,24528.0,1344585,0.018242059817713274,2020-06-01
,71.0,6717,0.010570195027542058,2020-07-01
E54000005,36211.0,1822732,0.019866332516244846,2020-07-01
E54000006,14803.0,852911,0.01735585541750546,2020-07-01
E54000007,4127.0,175567,0.023506695449600438,2020-07-01
E54000008,2789.0,129960,0.021460449369036627,2020-07-01
E54000009,21132.0,867416,0.024362013151705757,2020-07-01
E54000010,1174.0,59919,0.019593117375123082,2020-07-01
E54000012,15861.0,708485,0.02238720650401914,2020-07-01
E54000013,14758.0,546349,0.02701203809286738,2020-07-01
E54000014,17820.0,746554,0.0238696731917584,2020-07-01
E54000015,14548.0,833820,0.017447410712144108,2020-07-01
E54000016,7174.0,273719,0.026209360694727075,2020-07-01
E54000017,9244.0,422240,0.02189276241000379,2020-07-01
E54000020,10386.0,489525,0.021216485368469436,2020-07-01
E54000021,14092.0,701922,0.020076304774604585,2020-07-01
E54000022,16242.0,721558,0.022509625005890033,2020-07-01
E54000023,13617.0,612457,0.022233397609954658,2020-07-01
E54000024,15671.0,787069,0.019910579631518963,2020-07-01
E54000025,13240.0,646165,0.020490122491933174,2020-07-01
E54000026,19553.0,953896,0.020498041715239397,2020-07-01
E54000027,29197.0,1299022,0.022476139742052096,2020-07-01
E54000029,1398.0,80417,0.017384383898926842,2020-07-01
E54000033,12723.0,716532,0.017756359799701898,2020-07-01
E54000035,963.0,35419,0.02718879697337587,2020-07-01
E54000036,4899.0,209099,0.0234290933959512,2020-07-01
E54000037,13571.0,647349,0.020963962252200898,2020-07-01
E54000040,15126.0,733360,0.0206256136140504,2020-07-01
E54000041,13409.0,658475,0.020363719199665894,2020-07-01
E54000042,7973.0,499323,0.015967620157693516,2020-07-01
E54000043,8064.0,410975,0.01962163148610013,2020-07-01
E54000044,358.0,21480,0.016666666666666666,2020-07-01
E54000049,36184.0,1344585,0.02691090559540676,2020-07-01
,74.0,6717,0.011016822986452285,2020-08-01
E54000005,37337.0,1822732,0.020484086525062378,2020-08-01
E54000006,14966.0,852911,0.01754696562712874,2020-08-01
E54000007,4237.0,175567,0.024133236883924655,2020-08-01
E54000008,2863.0,129960,0.022029855340104647,2020-08-01
E54000009,20265.0,867416,0.02336249273704889,2020-08-01
E54000010,1287.0,59919,0.021478996645471385,2020-08-01
E54000012,15640.0,708485,0.022075273294424016,2020-08-01
E54000013,14114.0,546349,0.025833304353078342,2020-08-01
E54000014,16646.0,746554,0.022297114475309222,2020-08-01
E54000015,16327.0,833820,0.019580964716605503,2020-08-01
E54000016,6734.0,273719,0.024601872723486497,2020-08-01
E54000017,9631.0,422240,0.02280930276619932,2020-08-01
E54000020,9796.0,489525,0.020011235381236912,2020-08-01
E54000021,13124.0,701922,0.018697234165619542,2020-08-01
E54000022,15359.0,721558,0.021285884156228604,2020-08-01
E54000023,13449.0,612457,0.021959092638340325,2020-08-01
E54000024,15320.0,787069,0.01946462127208669,2020-08-01
E54000025,12850.0,646165,0.01988656148197442,2020-08-01
E54000026,21836.0,953896,0.022891384385719197,2020-08-01
E54000027,28521.0,1299022,0.021955748247527756,2020-08-01
E54000029,1278.0,80417,0.015892162105027544,2020-08-01
E54000033,12604.0,716532,0.01759028208091195,2020-08-01
E54000035,929.0,35419,0.026228860216268104,2020-08-01
E54000036,4688.0,209099,0.022420002008617927,2020-08-01
E54000037,12949.0,647349,0.020003120418815818,2020-08-01
E54000040,14001.0,733360,0.01909157848805498,2020-08-01
E54000041,12763.0,658475,0.01938266448991989,2020-08-01
E54000042,7682.0,499323,0.015384831061256942,2020-08-01
E54000043,7887.0,410975,0.019190948354522782,2020-08-01
E54000044,321.0,21480,0.01494413407821229,2020-08-01
E54000049,33829.0,1344585,0.025159435811049506,2020-08-01
,82.0,6717,0.01220783087687956,2020-09-01
E54000005,42723.0,1822732,0.023438991579672712,2020-09-01
E54000006,18089.0,852911,0.021208543447088852,2020-09-01
E54000007,4845.0,175567,0.027596302266371244,2020-09-01
E54000008,3183.0,129960,0.024492151431209603,2020-09-01
E54000009,22442.0,867416,0.025872245842825128,2020-09-01
E54000010,1368.0,59919,0.022830821609172384,2020-09-01
E54000012,17781.0,708485,0.02509721447878219,2020-09-01
E54000013,16334.0,546349,0.02989664115794117,2020-09-01
E54000014,18217.0,746554,0.024401449861630908,2020-09-01
E54000015,20844.0,833820,0.024998201050586456,2020-09-01
E54000016,7392.0,273719,0.027005797916841726,2020-09-01
E54000017,11471.0,422240,0.027167014020462295,2020-09-01
E54000020,11806.0,489525,0.024117256524181604,2020-09-01
E54000021,16216.0,701922,0.023102282019939538,2020-09-01
E54000022,17692.0,721558,0.02451916547249147,2020-09-01
E54000023,15599.0,612457,0.025469543167928523,2020-09-01
E54000024,18317.0,787069,0.023272419571854563,2020-09-01
E54000025,16292.0,646165,0.025213374292943753,2020-09-01
E54000026,24825.0,953896,0.02602484966914632,2020-09-01
E54000027,34309.0,1299022,0.02641140796691665,2020-09-01
E54000029,1553.0,80417,0.019311837049380106,2020-09-01
E54000033,15447.0,716532,0.02155800438780124,2020-09-01
E54000035,1199.0,35419,0.033851887405065076,2020-09-01
E54000036,5591.0,209099,0.026738530552513403,2020-09-01
E54000037,14801.0,647349,0.02286401925391095,2020-09-01
E54000040,16689.0,733360,0.022756899749100033,2020-09-01
E54000041,15152.0,658475,0.023010744523330424,2020-09-01
E54000042,9165.0,499323,0.018354852470244713,2020-09-01
E54000043,8841.0,410975,0.021512257436583734,2020-09-01
E54000044,428.0,21480,0.019925512104283054,2020-09-01
E54000049,38729.0,1344585,0.0288036829207525,2020-09-01
